vector_size;measure;second_object;time
10;1;vector;3.10E-06
10;2;vector;2.10E-06
10;3;vector;1.00E-07
10;4;vector;1.00E-07
10;5;vector;1.00E-07
10;6;vector;1.00E-07
10;7;vector;1.00E-07
10;8;vector;1.00E-07
10;9;vector;2.00E-07
10;10;vector;1.00E-07
100;1;vector;2.50E-06
100;2;vector;2.00E-07
100;3;vector;2.00E-07
100;4;vector;1.00E-07
100;5;vector;2.00E-07
100;6;vector;1.00E-07
100;7;vector;1.00E-07
100;8;vector;1.00E-07
100;9;vector;1.00E-07
100;10;vector;1.00E-07
1000;1;vector;1.10E-06
1000;2;vector;7.00E-07
1000;3;vector;7.00E-07
1000;4;vector;6.00E-07
1000;5;vector;7.00E-07
1000;6;vector;7.00E-07
1000;7;vector;6.00E-07
1000;8;vector;7.00E-07
1000;9;vector;6.00E-07
1000;10;vector;7.00E-07
5000;1;vector;6.20E-06
5000;2;vector;3.00E-06
5000;3;vector;2.90E-06
5000;4;vector;2.90E-06
5000;5;vector;2.90E-06
5000;6;vector;2.90E-06
5000;7;vector;2.90E-06
5000;8;vector;2.90E-06
5000;9;vector;3.10E-06
5000;10;vector;2.90E-06
10000;1;vector;3.20E-05
10000;2;vector;5.90E-06
10000;3;vector;5.90E-06
10000;4;vector;2.30E-05
10000;5;vector;5.70E-06
10000;6;vector;5.80E-06
10000;7;vector;5.90E-06
10000;8;vector;3.34E-05
10000;9;vector;5.90E-06
10000;10;vector;6.00E-06
25000;1;vector;2.97E-05
25000;2;vector;1.47E-05
25000;3;vector;1.45E-05
25000;4;vector;1.46E-05
25000;5;vector;3.01E-05
25000;6;vector;1.42E-05
25000;7;vector;1.41E-05
25000;8;vector;1.41E-05
25000;9;vector;1.41E-05
25000;10;vector;1.41E-05
40000;1;vector;4.26E-05
40000;2;vector;2.29E-05
40000;3;vector;2.27E-05
40000;4;vector;2.27E-05
40000;5;vector;2.27E-05
40000;6;vector;2.27E-05
40000;7;vector;2.26E-05
40000;8;vector;2.27E-05
40000;9;vector;2.27E-05
40000;10;vector;2.27E-05
50000;1;vector;5.44E-05
50000;2;vector;2.85E-05
50000;3;vector;2.85E-05
50000;4;vector;2.84E-05
50000;5;vector;2.84E-05
50000;6;vector;2.85E-05
50000;7;vector;2.84E-05
50000;8;vector;2.84E-05
50000;9;vector;2.85E-05
50000;10;vector;2.84E-05
60000;1;vector;6.56E-05
60000;2;vector;3.42E-05
60000;3;vector;3.41E-05
60000;4;vector;3.41E-05
60000;5;vector;3.40E-05
60000;6;vector;3.41E-05
60000;7;vector;3.41E-05
60000;8;vector;3.40E-05
60000;9;vector;3.41E-05
60000;10;vector;3.40E-05
75000;1;vector;8.15E-05
75000;2;vector;4.30E-05
75000;3;vector;4.25E-05
75000;4;vector;4.26E-05
75000;5;vector;4.26E-05
75000;6;vector;4.25E-05
75000;7;vector;4.25E-05
75000;8;vector;4.26E-05
75000;9;vector;4.26E-05
75000;10;vector;4.26E-05
100000;1;vector;0.0001077
100000;2;vector;5.89E-05
100000;3;vector;5.67E-05
100000;4;vector;5.67E-05
100000;5;vector;5.69E-05
100000;6;vector;5.66E-05
100000;7;vector;5.66E-05
100000;8;vector;5.67E-05
100000;9;vector;5.66E-05
100000;10;vector;5.67E-05
250000;1;vector;0.0002677
250000;2;vector;0.0001716
250000;3;vector;0.0001421
250000;4;vector;0.0001413
250000;5;vector;0.0001413
250000;6;vector;0.0002813
250000;7;vector;0.0002131
250000;8;vector;0.0001436
250000;9;vector;0.0001413
250000;10;vector;0.0001414
400000;1;vector;0.0004232
400000;2;vector;0.0002824
400000;3;vector;0.0002379
400000;4;vector;0.0003063
400000;5;vector;0.0003202
400000;6;vector;0.0002477
400000;7;vector;0.0002292
400000;8;vector;0.0002264
400000;9;vector;0.0002259
400000;10;vector;0.0002259
500000;1;vector;0.0005286
500000;2;vector;0.000357
500000;3;vector;0.0002942
500000;4;vector;0.0002823
500000;5;vector;0.0002825
500000;6;vector;0.0002824
500000;7;vector;0.0002824
500000;8;vector;0.0002823
500000;9;vector;0.0002856
500000;10;vector;0.0002837
600000;1;vector;0.0010237
600000;2;vector;0.0004783
600000;3;vector;0.00043
600000;4;vector;0.000388
600000;5;vector;0.000376
600000;6;vector;0.0005182
600000;7;vector;0.0006607
600000;8;vector;0.0004815
600000;9;vector;0.0003613
600000;10;vector;0.0003396
