size,time,method
10,0.000002,naive
10,0.000000,better
10,0.000029,gsl blas
10,0.000000,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000000,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000000,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000000,better
10,0.000001,gsl blas
10,0.000000,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000000,naive
10,0.000000,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000000,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000000,naive
10,0.000000,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000000,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000000,naive
10,0.000001,better
10,0.000001,gsl blas
35,0.000031,naive
35,0.000021,better
35,0.000030,gsl blas
35,0.000030,naive
35,0.000022,better
35,0.000028,gsl blas
35,0.000031,naive
35,0.000022,better
35,0.000027,gsl blas
35,0.000078,naive
35,0.000029,better
35,0.000029,gsl blas
35,0.000030,naive
35,0.000022,better
35,0.000029,gsl blas
35,0.000030,naive
35,0.000021,better
35,0.000029,gsl blas
35,0.000030,naive
35,0.000021,better
35,0.000028,gsl blas
35,0.000030,naive
35,0.000022,better
35,0.000027,gsl blas
35,0.000031,naive
35,0.000021,better
35,0.000029,gsl blas
35,0.000030,naive
35,0.000022,better
35,0.000027,gsl blas
60,0.000123,naive
60,0.000092,better
60,0.000118,gsl blas
60,0.000122,naive
60,0.000092,better
60,0.000105,gsl blas
60,0.000122,naive
60,0.000091,better
60,0.000117,gsl blas
60,0.000122,naive
60,0.000091,better
60,0.000117,gsl blas
60,0.000121,naive
60,0.000091,better
60,0.000121,gsl blas
60,0.000118,naive
60,0.000089,better
60,0.000114,gsl blas
60,0.000117,naive
60,0.000088,better
60,0.000114,gsl blas
60,0.000117,naive
60,0.000089,better
60,0.000127,gsl blas
60,0.000139,naive
60,0.000090,better
60,0.000102,gsl blas
60,0.000119,naive
60,0.000089,better
60,0.000103,gsl blas
85,0.000381,naive
85,0.000265,better
85,0.000361,gsl blas
85,0.000370,naive
85,0.000255,better
85,0.000339,gsl blas
85,0.000361,naive
85,0.000249,better
85,0.000316,gsl blas
85,0.000353,naive
85,0.000251,better
85,0.000322,gsl blas
85,0.000347,naive
85,0.000237,better
85,0.000301,gsl blas
85,0.000343,naive
85,0.000231,better
85,0.000315,gsl blas
85,0.000317,naive
85,0.000243,better
85,0.000300,gsl blas
85,0.000311,naive
85,0.000240,better
85,0.000293,gsl blas
85,0.000305,naive
85,0.000221,better
85,0.000303,gsl blas
85,0.000299,naive
85,0.000216,better
85,0.000275,gsl blas
110,0.000622,naive
110,0.000465,better
110,0.000532,gsl blas
110,0.000632,naive
110,0.000456,better
110,0.000558,gsl blas
110,0.000635,naive
110,0.000466,better
110,0.000553,gsl blas
110,0.000623,naive
110,0.000484,better
110,0.000704,gsl blas
110,0.000622,naive
110,0.000521,better
110,0.000524,gsl blas
110,0.000614,naive
110,0.000490,better
110,0.000530,gsl blas
110,0.000609,naive
110,0.000446,better
110,0.000526,gsl blas
110,0.000609,naive
110,0.000446,better
110,0.000526,gsl blas
110,0.000610,naive
110,0.000446,better
110,0.000576,gsl blas
110,0.000609,naive
110,0.000592,better
110,0.000525,gsl blas
135,0.001109,naive
135,0.000813,better
135,0.001062,gsl blas
135,0.001104,naive
135,0.000817,better
135,0.000990,gsl blas
135,0.001103,naive
135,0.000852,better
135,0.001196,gsl blas
135,0.001118,naive
135,0.000823,better
135,0.000968,gsl blas
135,0.001138,naive
135,0.000834,better
135,0.000981,gsl blas
135,0.001133,naive
135,0.000891,better
135,0.000980,gsl blas
135,0.001624,naive
135,0.000840,better
135,0.000979,gsl blas
135,0.001168,naive
135,0.000871,better
135,0.000977,gsl blas
135,0.001162,naive
135,0.000834,better
135,0.000970,gsl blas
135,0.001312,naive
135,0.000918,better
135,0.000973,gsl blas
160,0.001981,naive
160,0.001377,better
160,0.001719,gsl blas
160,0.001951,naive
160,0.001491,better
160,0.001698,gsl blas
160,0.001927,naive
160,0.001407,better
160,0.001690,gsl blas
160,0.002062,naive
160,0.001423,better
160,0.001682,gsl blas
160,0.001995,naive
160,0.001372,better
160,0.001709,gsl blas
160,0.001984,naive
160,0.001431,better
160,0.001690,gsl blas
160,0.001970,naive
160,0.001415,better
160,0.001704,gsl blas
160,0.002080,naive
160,0.001407,better
160,0.001700,gsl blas
160,0.002002,naive
160,0.001408,better
160,0.001745,gsl blas
160,0.002090,naive
160,0.001407,better
160,0.001781,gsl blas
185,0.003053,naive
185,0.002281,better
185,0.002971,gsl blas
185,0.003058,naive
185,0.002183,better
185,0.002685,gsl blas
185,0.003119,naive
185,0.002183,better
185,0.002742,gsl blas
185,0.003067,naive
185,0.002189,better
185,0.002641,gsl blas
185,0.003148,naive
185,0.002237,better
185,0.002686,gsl blas
185,0.003068,naive
185,0.002264,better
185,0.002675,gsl blas
185,0.003065,naive
185,0.002287,better
185,0.002861,gsl blas
185,0.003073,naive
185,0.002232,better
185,0.002804,gsl blas
185,0.003082,naive
185,0.002196,better
185,0.002700,gsl blas
185,0.003543,naive
185,0.002230,better
185,0.002642,gsl blas
210,0.004563,naive
210,0.003247,better
210,0.004004,gsl blas
210,0.004535,naive
210,0.003163,better
210,0.004072,gsl blas
210,0.004538,naive
210,0.003289,better
210,0.003931,gsl blas
210,0.004504,naive
210,0.003289,better
210,0.003884,gsl blas
210,0.004613,naive
210,0.003237,better
210,0.003973,gsl blas
210,0.004590,naive
210,0.003247,better
210,0.003981,gsl blas
210,0.004505,naive
210,0.003235,better
210,0.004168,gsl blas
210,0.004527,naive
210,0.003298,better
210,0.003943,gsl blas
210,0.004513,naive
210,0.003266,better
210,0.003990,gsl blas
210,0.004548,naive
210,0.003226,better
210,0.003942,gsl blas
235,0.006353,naive
235,0.004587,better
235,0.005912,gsl blas
235,0.006369,naive
235,0.004577,better
235,0.005563,gsl blas
235,0.006280,naive
235,0.004531,better
235,0.005492,gsl blas
235,0.006727,naive
235,0.004589,better
235,0.005626,gsl blas
235,0.006411,naive
235,0.004562,better
235,0.005651,gsl blas
235,0.006409,naive
235,0.004662,better
235,0.005610,gsl blas
235,0.006287,naive
235,0.004996,better
235,0.005610,gsl blas
235,0.006351,naive
235,0.004499,better
235,0.005516,gsl blas
235,0.006345,naive
235,0.004568,better
235,0.005599,gsl blas
235,0.006283,naive
235,0.004583,better
235,0.005476,gsl blas
260,0.008647,naive
260,0.006276,better
260,0.007896,gsl blas
260,0.008708,naive
260,0.006327,better
