size,time,method
10,0.000002,naive
10,0.000001,better
10,0.000018,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000002,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000000,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000000,better
10,0.000001,gsl blas
10,0.000000,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000000,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000000,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000000,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
10,0.000001,naive
10,0.000001,better
10,0.000001,gsl blas
35,0.000032,naive
35,0.000031,better
35,0.000030,gsl blas
35,0.000032,naive
35,0.000032,better
35,0.000030,gsl blas
35,0.000031,naive
35,0.000031,better
35,0.000029,gsl blas
35,0.000031,naive
35,0.000032,better
35,0.000030,gsl blas
35,0.000034,naive
35,0.000032,better
35,0.000030,gsl blas
35,0.000031,naive
35,0.000031,better
35,0.000028,gsl blas
35,0.000032,naive
35,0.000032,better
35,0.000029,gsl blas
35,0.000032,naive
35,0.000031,better
35,0.000029,gsl blas
35,0.000031,naive
35,0.000031,better
35,0.000028,gsl blas
35,0.000032,naive
35,0.000032,better
35,0.000029,gsl blas
60,0.000125,naive
60,0.000126,better
60,0.000120,gsl blas
60,0.000125,naive
60,0.000127,better
60,0.000109,gsl blas
60,0.000126,naive
60,0.000127,better
60,0.000120,gsl blas
60,0.000126,naive
60,0.000126,better
60,0.000120,gsl blas
60,0.000126,naive
60,0.000126,better
60,0.000109,gsl blas
60,0.000125,naive
60,0.000127,better
60,0.000120,gsl blas
60,0.000125,naive
60,0.000127,better
60,0.000129,gsl blas
60,0.000125,naive
60,0.000126,better
60,0.000120,gsl blas
60,0.000125,naive
60,0.000127,better
60,0.000121,gsl blas
60,0.000126,naive
60,0.000127,better
60,0.000120,gsl blas
85,0.000391,naive
85,0.000394,better
85,0.000382,gsl blas
85,0.000370,naive
85,0.000393,better
85,0.000367,gsl blas
85,0.000381,naive
85,0.000383,better
85,0.000366,gsl blas
85,0.000383,naive
85,0.000394,better
85,0.000367,gsl blas
85,0.000382,naive
85,0.000383,better
85,0.000365,gsl blas
85,0.000367,naive
85,0.000406,better
85,0.000365,gsl blas
85,0.000381,naive
85,0.000383,better
85,0.000381,gsl blas
85,0.000359,naive
85,0.000374,better
85,0.000366,gsl blas
85,0.000363,naive
85,0.000364,better
85,0.000348,gsl blas
85,0.000366,naive
85,0.000363,better
85,0.000348,gsl blas
110,0.000739,naive
110,0.000759,better
110,0.000648,gsl blas
110,0.000744,naive
110,0.000718,better
110,0.000599,gsl blas
110,0.000651,naive
110,0.000685,better
110,0.000570,gsl blas
110,0.000685,naive
110,0.000670,better
110,0.000557,gsl blas
110,0.000609,naive
110,0.000653,better
110,0.000564,gsl blas
110,0.000608,naive
110,0.000659,better
110,0.000585,gsl blas
110,0.000615,naive
110,0.000709,better
110,0.000545,gsl blas
110,0.000614,naive
110,0.000663,better
110,0.000561,gsl blas
110,0.000595,naive
110,0.000633,better
110,0.000586,gsl blas
110,0.000595,naive
110,0.000633,better
110,0.000577,gsl blas
135,0.001091,naive
135,0.001136,better
135,0.000969,gsl blas
135,0.001144,naive
135,0.001154,better
135,0.000945,gsl blas
135,0.001036,naive
135,0.001110,better
135,0.000945,gsl blas
135,0.001097,naive
135,0.001105,better
135,0.001000,gsl blas
135,0.001323,naive
135,0.001180,better
135,0.000984,gsl blas
135,0.001106,naive
135,0.001170,better
135,0.001044,gsl blas
135,0.001170,naive
135,0.001167,better
135,0.001012,gsl blas
135,0.001238,naive
