size,time,method
10,0.000005,naive
10,0.000004,better
10,0.000038,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000005,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000001,gsl blas
10,0.000004,naive
10,0.000004,better
10,0.000000,gsl blas
10,0.000004,naive
10,0.000005,better
10,0.000001,gsl blas
35,0.000157,naive
35,0.000167,better
35,0.000026,gsl blas
35,0.000153,naive
35,0.000152,better
35,0.000028,gsl blas
35,0.000152,naive
35,0.000151,better
35,0.000026,gsl blas
35,0.000153,naive
35,0.000163,better
35,0.000026,gsl blas
35,0.000148,naive
35,0.000178,better
35,0.000028,gsl blas
35,0.000150,naive
35,0.000148,better
35,0.000026,gsl blas
35,0.000149,naive
35,0.000148,better
35,0.000026,gsl blas
35,0.000149,naive
35,0.000149,better
35,0.000027,gsl blas
35,0.000156,naive
35,0.000147,better
35,0.000027,gsl blas
35,0.000149,naive
35,0.000158,better
35,0.000026,gsl blas
60,0.000727,naive
60,0.000747,better
60,0.000093,gsl blas
60,0.000707,naive
60,0.000715,better
60,0.000088,gsl blas
60,0.000678,naive
60,0.000694,better
60,0.000098,gsl blas
60,0.000665,naive
60,0.000680,better
60,0.000098,gsl blas
60,0.000657,naive
60,0.000693,better
60,0.000098,gsl blas
60,0.000697,naive
60,0.000701,better
60,0.000098,gsl blas
60,0.000658,naive
60,0.000686,better
60,0.000097,gsl blas
60,0.000658,naive
60,0.000705,better
60,0.000088,gsl blas
60,0.000656,naive
60,0.000688,better
60,0.000098,gsl blas
60,0.000637,naive
60,0.000635,better
60,0.000089,gsl blas
85,0.001866,naive
85,0.001932,better
85,0.000264,gsl blas
85,0.001941,naive
85,0.001968,better
85,0.000281,gsl blas
85,0.001804,naive
85,0.001765,better
85,0.000280,gsl blas
85,0.001884,naive
85,0.001766,better
85,0.000282,gsl blas
85,0.001798,naive
85,0.001805,better
85,0.000268,gsl blas
85,0.001765,naive
85,0.001933,better
85,0.000281,gsl blas
85,0.001773,naive
85,0.001781,better
85,0.000269,gsl blas
85,0.001768,naive
85,0.001769,better
85,0.000282,gsl blas
85,0.001888,naive
85,0.002227,better
85,0.000294,gsl blas
85,0.001775,naive
85,0.001764,better
85,0.000282,gsl blas
110,0.003946,naive
110,0.003883,better
110,0.000563,gsl blas
110,0.003816,naive
110,0.004027,better
110,0.000567,gsl blas
110,0.003843,naive
110,0.004343,better
110,0.000519,gsl blas
110,0.003924,naive
110,0.004067,better
110,0.000573,gsl blas
110,0.003941,naive
110,0.003969,better
110,0.000586,gsl blas
110,0.004055,naive
110,0.003995,better
110,0.000541,gsl blas
110,0.004057,naive
110,0.004014,better
110,0.000560,gsl blas
110,0.004040,naive
110,0.004021,better
110,0.000542,gsl blas
110,0.004111,naive
110,0.003995,better
110,0.000550,gsl blas
110,0.003984,naive
110,0.004109,better
110,0.000540,gsl blas
135,0.007407,naive
135,0.007413,better
135,0.000997,gsl blas
135,0.007374,naive
135,0.007476,better
135,0.001027,gsl blas
135,0.007351,naive
135,0.007617,better
135,0.000995,gsl blas
135,0.007423,naive
135,0.007476,better
135,0.000987,gsl blas
135,0.007490,naive
135,0.007492,better
135,0.000986,gsl blas
135,0.007446,naive
135,0.007470,better
135,0.001085,gsl blas
135,0.007408,naive
135,0.007442,better
135,0.001094,gsl blas
135,0.007565,naive
135,0.007509,better
135,0.001042,gsl blas
135,0.007408,naive
135,0.007631,better
135,0.001008,gsl blas
135,0.007467,naive
135,0.007681,better
135,0.001032,gsl blas
160,0.012416,naive
160,0.012494,better
160,0.001631,gsl blas
160,0.012468,naive
160,0.012523,better
160,0.001719,gsl blas
160,0.012472,naive
160,0.012521,better
160,0.001721,gsl blas
160,0.012479,naive
160,0.012868,better
160,0.001722,gsl blas
160,0.012476,naive
160,0.012442,better
160,0.001753,gsl blas
160,0.012552,naive
160,0.012845,better
160,0.001737,gsl blas
160,0.012536,naive
160,0.012534,better
160,0.001718,gsl blas
160,0.012530,naive
160,0.012556,better
160,0.001818,gsl blas
160,0.012541,naive
160,0.012486,better
160,0.001748,gsl blas
160,0.012489,naive
160,0.012622,better
160,0.001718,gsl blas
185,0.019352,naive
185,0.019294,better
185,0.002724,gsl blas
185,0.019262,naive
185,0.019360,better
185,0.002682,gsl blas
185,0.021828,naive
185,0.019319,better
185,0.002707,gsl blas
185,0.019154,naive
185,0.019295,better
185,0.002834,gsl blas
185,0.018770,naive
185,0.018973,better
185,0.002600,gsl blas
185,0.018725,naive
185,0.019286,better
185,0.002590,gsl blas
185,0.018801,naive
185,0.019104,better
185,0.002605,gsl blas
185,0.019120,naive
185,0.019054,better
185,0.002860,gsl blas
185,0.018765,naive
185,0.019077,better
185,0.002593,gsl blas
185,0.019185,naive
185,0.019058,better
185,0.002665,gsl blas
210,0.028033,naive
210,0.027928,better
210,0.004144,gsl blas
210,0.028874,naive
210,0.027971,better
